icao,name,lat,lon
04MA,"Goddard",42.80981138,-71.13922528
04MI,"Rapids Airway",42.53448111,-84.62831306
04MN,"Helblad",47.98579222,-94.68691778
04MO,"Airpark - Private",39.3011525,-91.45154278
04MS,"Nicks Flying Svc",32.939572,-90.837322
04ND,"Hahn Field",46.72747388,-97.44009334
04NE,"Mc Connell Field",41.15967054,-101.29903899
04NJ,"Emmanuel",39.59678111,-75.23351889
04NV,"Kingston Ranch",35.7555305,-115.664728
04NY,"Klaverack",42.26230916,-73.69623306
04OH,"Bossow",41.24769472,-81.10065195
04OI,"Herr Ii",41.42005194,-83.79716084
04OR,"Collins Landing Strip",44.74985527,-120.20112889
04TX,"Pocock",31.73222222,-97.36888889
04U,"Kirkeby Ranch",38.90411388,-114.38972056
04V,"Saguache Municipal",38.09722222,-106.168635
04W,"Keech",35.62210777,-76.76355028
04WA,"Ox Meadows",47.58183611,-117.4371525
04WI,"Dutch Gap Airstrip",42.5233525,-88.01674806
04Y,"Hawley Muni",46.8838205,-96.35026
05A,"Cascabel Air Park",32.30007333,-110.3650775
05AK,"Wasilla Creek Airpark",61.6682105,-149.1879725
05C,"Griffith Merrillville",41.519842,-87.399508
05CL,"Pope Valley",38.6108335,-122.39139
05CO,"Rancho De Aereo",40.21498388,-104.98442278
05D,"New Town Muni",47.967089,-102.4779555
05E,"Ranta Strip",33.85392111,-112.65323028
05G,"Williams Field",43.34168944,-82.83604528
05II,"Reichhart",41.02865944,-84.99718945
05IL,"Classic Landings",41.15669722,-88.01671389
05IS,"Hardy",39.72587638,-89.26397112
05J,"Bonner Field",30.55019388,-87.64998612
05LA,"Gregs Flying Service",32.26527777,-91.69777778
05MN,"Sowieja",44.63441055,-93.07243612
05ND,"Klessig Strip",47.20776194,-97.47119945
05NE,"Mc Kay",41.721559305,-98.308853035
05OI,"Dorlon Airpark",41.28838527,-81.96263945
05OK,"Hawk Haven",35.85337972,-97.56754417
05OR,"Peacock Ranch",45.44153777,-117.35100973
05Q,"Camanche Skypark",38.26380527,-120.9232725
05S,"Vernonia Airfield",45.85150027,-123.24150528
05T,"Hilde-griff Field",30.72213333,-97.79140251
05TA,"Brandes Air Field",29.80913055,-96.26507778
05TS,"Dew Drop",33.12928749,-97.35863056
05TX,"Circle A Ranch",32.12916666,-97.40416667
05U,"Eureka",39.599722,-116.005
05UT,"Oljato",37.033333,-110.317357
05V,"Blanca",37.41111916,-105.55168001
05VA,"Providence",37.22416666,-78.41861112
05W,"Riverside Campground",35.58155444,-76.51548473
05WI,"Ames - Private",42.65112444,-88.74593862
05XS,"Johnson Memorial",33.07929055,-91.54317556
05Y,"Henning Municipal",46.30385,-95.4394825
06A,"Moton Fld Muni",32.4604695,-85.6800335
06C,"Schaumburg Rgnl",41.9891585,-88.1003565
06D,"Rolla Muni",48.886968,-99.6218575
06FA,"William P Gwinn",26.908153,-80.3284135
06II,"Bill Shank",40.02309194,-86.03748528
06IL,"Thudwhomp",41.40030722,-90.99070306
06IS,"Sinele Strip",40.54643166,-91.27431584
06K,"Phillips",40.07504305,-91.78988806
06M,"Eupora",33.5346165,-89.317021
06MO,"Noahs Ark",39.231528,-94.8043055
06N,"Randall",41.4318693025,-74.3941622175
06NC,"Tailwinds",34.8275,-78.93027778
06ND,"Fitterers Strip",46.74889194,-101.66931528
06OH,"Hal Joy Airfield",41.50977611,-80.59118584
06OI,"Green Acres",39.73477805,-84.38222223
06OR,"Hayden Mountain",45.465115,-123.07955
06Q,"Ranch Airstrip",38.33741388,-120.97327389
06R,"Grawunder Field",29.94189222,-96.24607445
06S,"Acme Field",48.7095575,-122.17765723
06TA,"Glaser Field",30.90852027,-97.11693639
06TE,"Ainsworth",30.3127085,-95.026875
06TS,"Roscoe Mc Connico",32.12070861,-96.17913973
06U,"Jackpot Hayden Fld",41.975835,-114.6580555
06WI,"Young - Private",45.66273,-92.45019806
06X,"Parrish Brothers - Private",27.87530138,-80.51644195
06Y,"Herman Municipal",45.82996055,-96.16061445
07A,"Franklin Fld",32.1662025,-85.8097765
07B,"Blue Hill",44.44591,-68.56613417
07D,"Tackaberry",43.06336,-82.72492639
07E,"Navajo Nr 5",34.88669611,-109.42732667
07F,"Gladewater Muni",32.52867475,-94.97167475
07FA,"Ocean Reef Club",25.323710985,-80.2759437025
07FD,"Flying G Ranch",30.41799194,-83.28375417
07H,"Schnelle",40.09865694,-91.39737251
07IL,"Haley Field",41.49308611,-88.20145084
07K,"Central City Municipal",41.11156373,-98.051331935
07KS,"Heape Field",37.73418388,-96.93670084
07KY,"Blue Lick",38.08062249,-85.6932925
07LL,"Dunlap",38.72504722,-87.74391667
07MI,"Scott Airstrip",43.86418916,-85.02391889
07MN,"Dairyview",44.05496472,-95.90946306
07MO,"Lake Sexton",38.65001472,-93.61687945
07MT,"Glasgow Industrial",48.421093,-106.5277165
07N,"Bermudian Valley Airpark",40.01676166,-77.00386667
07NC,"Timnath - Serah",34.83320416,-80.75117834
07ND,"Backfisch Strip",47.15611944,-102.06433667
07NY,"Hough-mcgee",40.87093166,-73.03705139
07OK,"Pleasant Valley",34.63340472,-99.03368862
07OR,"Bruces",45.42178638,-122.62037084
07PA,"Malickson",40.16065944,-75.49268584
07R,"Bishop Muni",27.61031,-97.7519415
07TA,"Salaika Aviation",29.24051833,-95.34465834
07TE,"Cuddihy Fld",27.721909625,-97.509618
07TS,"Cross-country Estates",30.625,-97.57277778
07V,"Cuchara Valley At La Veta",37.523825,-105.0092695
07VA,"Alpha Hotel",36.81958361,-78.78306223
07W,"Brickhouse Fld",34.41405638,-77.94971084
07WI,"Bartell Strip",42.96528888,-88.39148501
07Y,"Hill City-quadna Mountain",46.9555075,-93.59689639
08A,"Wetumpka Muni",32.52748125,-86.3310555
08AK,"Atmautluak",60.86674555,-162.27313889
08B,"Merrymeeting Field",44,-69.88713908
08C,"Riverview",42.936,-85.805196
08D,"Stanley Muni",48.3007985,-102.4063515
08F,"City Of Coalgate",34.53175888,-96.23305389
08FD,"Sunniland Ranch",27.36309833,-80.77283695
08FL,"J. H. Hendrie Farms",27.08449694,-81.32868334
08GA,"Sapelo Island",31.42578027,-81.28592889
08IL,"Harms Airstrip",41.57697722,-89.79399389
08K,"Harvard State",40.65133225,-98.0799333075
08KS,"Alderson",39.03472194,-97.58003195
08M,"Carthage Leake Co",32.7601905,-89.530914
08MA,"Wormid",42.29398361,-71.49617445
08MS,"Williams Fld",34.6622225,-89.868333
08N,"Keller Brothers",40.29175888,-76.32884528
08NC,"Heathwood Farm",36.06763694,-80.46561195
08ND,"Brecht Strip",47.32639666,-102.09767306
08NE,"Laurel Municipal",42.43038825,-97.07841186
08NY,"Sharon",42.7784075,-74.57764001
08OH,"Kenley",41.29172222,-80.56368389
08OR,"Saxon Sycan",42.83931166,-121.1172175
08Q,"Kistler Ranch",37.85964916,-120.55436639
08R,"Richmond",41.48898916,-71.62034112
08TE,"B J Mc Combs Sisterdale",29.9760475,-98.743639
08TS,"Puesta Del Sol",26.88782833,-98.50723862
08TX,"Cross Wind",32.85818111,-97.74752945
08U,"Stevens-crosby",41.51574138,-115.85980417
08VA,"Springwood Airstrip",37.55402194,-79.74976334
08WI,"Pierick",43.0436025,-90.35512389
08X,"Calusa Ranch",26.05453555,-81.06784778
09A,"Butler Choctaw Co",32.119315,-88.127464
09AK,"Larsen Bay",57.53510666,-153.97841695
09C,"Austin Lake",42.16254416,-85.54583278
09CL,"Alta Sierra",39.11375,-121.056529
09CO,"Cottonwood Field",38.05556333,-103.65328028
09F,"Running M Ranch",32.26680777,-97.86697612
09FA,"Placid Lakes",27.2455555,-81.413056
09FD,"Cheryl-lane Landings",28.67110361,-82.08730667
09FL,"R V Jordan",30.90212916,-87.174415
09GA,"Sunbelt Strip",31.11129833,-83.68405834
09I,"Delphos",40.82088305,-84.31245112
09II,"Gibbons Field",38.44727972,-86.44498473
09J,"Jekyll Island",31.0744775,-81.427782
09K,"Sargent Muni",41.634934,-99.34215576
09KS,"Coffman",38.70695333,-95.13830334
09LL,"Pine Hill",42.4680725,-88.74315862
09M,"Charleston Muni",33.99155,-90.075375
09MA,"Kallander Field",42.30426111,-71.50589695
09MN,"W Johnson Field",44.77995722,-95.66363389
09MO,"Hogue Farm",37.37837777,-93.36324806
09N,"Airhaven",41.83259305,-73.87596778
09NC,"William Irving Lewis",35.32932499,-79.030025
09NE,"Summer Hill Farm",41.33275339,-96.19155598
09OH,"Pine Acres",40.34978888,-80.90508973
09OK,"Ragtime Aerodrome",36.35453888,-95.86388334
09PA,"Eagle Field",40.82700388,-77.98806028
09R,"Tyler Co",30.7752,-94.4585345
09S,"Sullivan Lake State",48.84112424,-117.28395798
09TS,"Pitcock Rosillos Mountain Ranch",29.482419,-103.164892
09TX,"Smokey Mtn Ranch",30.73905166,-102.02374139
09VA,"Alum Ridge",36.97651777,-80.49394362
09WI,"Parkway Farm Strip",44.00357333,-91.30764417
0A2,"Hester Memorial",34.0904665,-82.5680585
0A3,"Smithville Muni",35.985325,-85.809322
0A4,"Johnson City Stolport",36.36361,-82.3088875
0A5,"Zack",34.60952833,-84.97772223
0A7,"Hendersonville",35.3076143725,-82.434201095
0A8,"Bibb Co",32.9367915,-87.0888835
0A9,"Elizabethton Muni",36.3712115,-82.1734025
0AK0,"Scotts",64.392223,-146.8621415
0AK1,"Anderson Lake Strip",61.61696166,-149.31472501
0AK2,"Cape Simpson",71.05877888,-154.75061862
0AK3,"Parker Lake",62.03586638,-150.49391695
0AK6,"Victory",61.80337444,-147.94415334
0AL1,"Resort",30.44388888,-87.65694445
0AL5,"Flomaton",31.03222222,-87.25277778
0AL9,"Wilson Creek",34.85,-87.6325
0AR1,"Hooterville South",35.09467138,-93.20198334
0AR2,"Mission Field-marotti Memorial",35.26675444,-90.35009917
0AR3,"Taylors Air Strip",35.89896777,-93.26101139
0AR7,"Yancopin",33.95010416,-91.18122528
0AS0,"Sycamore Creek",33.66115472,-111.61680334
0AZ1,"Taylor Field",32.30090722,-111.32371723
0AZ2,"Western Sky",33.7780555,-113.6416665
0AZ4,"Flying Bucket Ranch",32.98227027,-112.28709278
0AZ5,"Castle Well",33.86586583,-112.60336834
0B1,"Bethel Rgnl",44.4251525,-70.8099135
0B2,"Brewer",44.76368277,-68.76781362
0B3,"Johnson Farm Lines",35.57119361,-93.5751875
0B4,"Hartington Muni",42.60287375,-97.2538804325
0B5,"Turners Falls",42.591378,-72.5227625
0B7,"Warren-sugarbush",44.11672722,-72.82705806
0B8,"Elizabeth Fld",41.2522215,-72.031666
0C0,"Dacy",42.4027281666667,-88.632118
0C2,"Hinckley",41.77086277,-88.70341445
0C3,"Wilhelmi Field",41.48336416,-88.08339084
0C4,"Pender Muni",42.11341175,-96.727810425
0C5,"Canadian Lakes",43.57641694,-85.28059056
0C6,"St George",41.20697694,-87.78531862
0C7,"Grandpas Farm Mendota",41.52197694,-89.13258445
0C8,"Cushing Field Ltd",41.519475,-88.60562889
0CA1,"Northside Airpark",34.98831055,-120.45794195
0CA3,"Crawford",34.58748805,-120.01347584
0CA4,"Shepherd Ranch",34.62220888,-120.0654225
0CA5,"Hoffman - Private",33.1430975,-116.74529945
0CA8,"Ward Ranch",33.42780972,-116.84252334
0CA9,"Blech Ranch",35.594862,-120.33847
0CL1,"Krey Field",34.56943611,-117.55555556
0CL3,"John Nichols Field",32.63311194,-116.89307806
0CL6,"Bohunks Airpark",34.69470666,-118.28313195
0CL8,"Tera Skypark",35.59134583,-117.63367306
0CO1,"Daves",40.03331805,-105.12387306
0CO2,"Buckhorn Ranch",38.85159,-106.9320905
0CO3,"Greggs No 1",39.88942888,-104.54496139
0CO5,"Mack Mesa",39.26720166,-108.86371584
0CO6,"Flying M & M Ranch",38.21943361,-108.21313334
0CO8,"Cartwheel",40.2083175,-105.01303501
0CO9,"Van Treese",37.65833444,-106.03391334
0D0,"Fort Hill",42.90200805,-77.54777334
0D4,"Camp Vernon",42.35616861,-79.54893612
0D5,"Hill Top Airpark",43.16673222,-76.80801251
0D7,"Ada",40.790466195,-83.82911704
0D8,"Gettysburg Muni",44.98691675,-99.95322025
0D9,"Air Park North",44.95834138,-84.95837973
0E0,"Moriarty",34.985608,-106.009465
0E8,"Crownpoint",35.7176585,-108.201597
0F0,"Horne",35.51259611,-95.13912667
0F2,"Bowie Muni",33.601661,-97.7755665
0F3,"Spirit Lake Muni",43.387464,-95.1391625
0F4,"Loup City Muni",41.286424625,-98.99019767
0F6,"Gorman",32.20430416,-98.66561001
0F7,"Fountainhead Lodge Airpark",35.388678,-95.600032
0F8,"William R Pogue Muni",36.1752765,-96.1518415
0F9,"Tishomingo Airpark",34.1984975,-96.674486
0FD0,"Big G",29.26747944,-81.23006112
0FD3,"Kennedy",29.36136166,-82.14981639
0FD7,"Field Of Dreams",28.47027527,-82.24064223
0FD8,"Sandy Acres",28.97637388,-81.73729945
0FD9,"Joy Farms",30.65213555,-86.10938445
0G0,"North Buffalo Suburban",43.103183885,-78.703345825
0G2,"Jenkins",41.309775,-83.11602945
0G3,"Tecumseh Muni",40.4009455,-96.170425575
0G6,"Williams Co",41.4672945,-84.5067655
0G7,"Finger Lakes Rgnl",42.88368825,-76.78051475
0G8,"Alliance",40.90561388,-81.06509528
0GA0,"Halls Flying Ranch",33.35622611,-84.36714639
0GA1,"Mustang Field",34.47788055,-82.89708723
0GA2,"Airnautique Inc.",34.37788194,-82.94569889
0GA3,"Ayresouth",33.77010583,-85.06077917
0GA4,"Paradise Falls",33.8128975,-83.50571862
0GA6,"Sunset Strip",33.73344611,-83.81879084
0GA7,"Hickory Level Airfield",33.68344138,-84.99994334
0GA8,"Paso Fino Farm",30.88714111,-83.41599028
0GA9,"Roberta Industrial Park",32.71388888,-84.02750001
0H0,"Robinson Rla",39.65532944,-89.65204195
0H1,"Trego Wakeeney",39.0044525,-99.8928985
0H2,"Hammet",38.95282499,-90.16399778
0H4,"Glatthaar",39.52503472,-87.80586334
0I2,"Brazil Clay County",39.47674069,-87.09971152
0I8,"Cynthiana Harrison Co",38.3661625,-84.2833445
0IA3,"Hawkeye",42.43470972,-92.32796306
0IA5,"Moore - Private",40.872225,-93.26270945
0IA6,"Rinehart",41.65972472,-92.28990528
0IA8,"Hannen",42.22665833,-91.75128667
0ID2,"Flying Joseph Ranch Arpt",44.4428885,-113.7731395
0II0,"Chucks",40.26004249,-85.25330306
0II1,"Unsicker",40.42809333,-86.15332556
0II2,"Creighton",41.45726944,-86.12444612
0II3,"Miller Strip",40.62781777,-86.03776806
0II4,"Hook",41.39755027,-84.83607139
0II5,"Marshall Field",40.65948194,-86.85723445
0II6,"Kropf",41.643105,-85.82971639
0II7,"Frost Field",39.79559833,-85.78608945
0II8,"Suttons Field",41.32475722,-87.47586917
0II9,"Winters",39.53421361,-86.57722195
0IL2,"Wilken",40.84725611,-88.04782056
0IL3,"Flying B Ranch",40.15698055,-87.67446639
0IL7,"Diedrich",41.87308472,-88.83508806
0IL8,"Walter",41.87252916,-88.72369556
0IL9,"Jack W. Watson",41.85475138,-88.78730806
0IN1,"Snider Field",38.50004722,-87.59585723
0IN2,"The Lazy K",40.82782472,-85.08608028
0IN3,"Graves Landing Strip",41.11670722,-86.66667862
0IN4,"Air Park Field",41.12782666,-84.94718806
0IN5,"Byrne Field",38.32895416,-86.03358167
0IN9,"Parrish",37.99310055,-87.95141778
0IS4,"Dawson Farms",39.76253444,-88.67145528
0IS5,"Mueller",38.93449083,-89.62508862
0J0,"Abbeville Municipal",31.60016777,-85.23882223
0J4,"Florala Muni",31.042474,-86.3114985
0J6,"Headland Muni",31.36428,-85.3130495
0J8,"Flying Ten",29.61802222,-82.50872028
0J9,"Flying V",40.86777125,-97.35398024
0K0,"Griffin Field",37.3916825,-102.27962862
0K2,"Cooch Landing Area",39.84169916,-88.45839028
0K5,"Jerseyville Aviation Inc",39.09421361,-90.31344723
0K6,"Dobies",36.17898611,-95.58108889
0K7,"Humboldt Muni",42.734868,-94.2454625
0KS0,"J V Ranch",38.63334222,-95.92526695
0KS1,"Shomin",39.21666555,-95.33719445
0KS2,"Kellie Mann Airfield",38.5600125,-95.30914167
0KS3,"Camp Chippewa",38.56667861,-95.36692112
0KS4,"Snoopys",38.80833777,-95.59886973
0KS5,"Majeski",38.60279,-94.92496417
0KS6,"Kendrigan",37.45224166,-97.31782251
0KS7,"Mono Aircraft",37.69279111,-97.88644251
0KS9,"Lmn 120",37.51585305,-96.91975584
0KY1,"Arnemann Farms",36.7655555,-86.618333
0KY4,"Cambron Field",37.56444444,-87.08194445
0KY5,"Falin Landing Strip",36.8125,-86.375
0KY7,"Clinton-hickman County",36.63611111,-88.99861112
0KY8,"Sky",37.11722222,-83.73611112
0L4,"Lida Junction",37.48576555,-117.19090778
0L5,"Goldfield",37.71798833,-117.23841195
0L7,"Jean",35.76822225,-115.329611
0L9,"Echo Bay",36.3108335,-114.4636095
0LA1,"Double H Ranch",30.22936277,-90.97343334
0LA2,"Don Babin - Private",30.2779725,-90.96315584
0LL2,"Murks Strip",40.73892805,-90.38068306
0LL5,"Busboom Rla",40.11003333,-88.07837334
0LL6,"Gord",41.69836277,-88.60757723
0LL8,"Immke",40.83364499,-88.37755334
0M0,"Billy Free Muni",33.8847525,-91.534525
0M1,"Scott Fld",35.6377805,-88.127994
0M2,"Reelfoot Lake",36.4752765,-89.346111
0M3,"John A Baker Field",35.545972,-87.5973235
0M4,"Benton Co",36.0112305,-88.1232835
0M5,"Humphreys Co",36.1165985,-87.7381555
0M7,"Worth James Ranch",35.08342861,-94.11687417
0M8,"Byerley",32.825967,-91.187686
0M9,"Delhi Muni",32.4106945,-91.4987515
0MD1,"Taylor Field",39.18733333,-75.79271167
0MD2,"Squier Landing",38.28790611,-76.86746973
0MD4,"Pond View - Private",39.26677555,-76.18717417
0MD6,"Walters",39.38121444,-77.10581417
0MI1,"Sugar Springs",44.14029805,-84.43751112
0MI2,"Stier Airstrip",44.52223694,-83.68331417
0MI3,"Kelleys",44.63334944,-84.48335362
0MI4,"Lesterson Field",46.27022277,-87.38652834
0MI6,"Youngs",46.38751138,-85.18398139
0MI7,"Edward F Johnson",46.34521861,-87.78846806
0MI8,"Twin Lakes",44.90001055,-84.30001223
0MN1,"Brinkman",44.26246666,-94.06968084
0MN5,"Pankratz",44.30718194,-94.91693334
0MN6,"Matson Fld",43.66218583,-92.40433723
0MN8,"Keller",45.1358,-92.85937806
0MO0,"Ferros Ranch-aero",38.4102975,-93.85021528
0MO1,"Flying G",38.54445861,-94.09466473
0MO2,"Short-n-ruff",37.78671527,-90.78012862
0MO3,"Arvin Ranch",38.44029416,-94.59328806
0MO5,"Joe D Lewis",40.1333725,-92.10017862
0MO6,"Hall",40.11670444,-92.26685195
0MO8,"Sloans",39.14060416,-90.73679112
0MS0,"Topton Air Estates",32.475,-88.6166655
0MS1,"Franklin Field",31.42517111,-90.90287945
0MS2,"Morgan Field",31.54183361,-89.39173028
0MS5,"Lewis Air Service",33.39178388,-90.91676806
0MS7,"Hale Field",34.34260472,-89.14312362
0MS8,"Catfish Point",33.69927611,-91.16511167
0MS9,"Shenandoah Valley Farms",33.80067083,-89.02728306
0MU0,"Eagle Field",37.23472222,-91.09361112
0MU1,"Sunderland",37.24666666,-94.17388889
0MU4,"Slaughter",39.61613777,-92.86686001
0MU7,"Lambs Field",38.87500861,-94.13966723
0MU8,"Prince",37.43866222,-89.75898612
0N0,"Roosterville",39.29111305,-94.44217334
0N4,"Chandelle Estates",39.20233444,-75.48547778
0N6,"Henderson Aviation",39.01261277,-75.53353473
0N7,"Warrington Field",38.46261333,-75.17490834
0N9,"Slater Fld",38.75705777,-75.75382084
0NA1,"Goerger",46.245515,-97.03758556
0NA2,"Bensen Airstrip",46.76580027,-96.9286975
0NA3,"Kasowski",46.9025,-97.09833334
0NA4,"Kreidelcamp",46.80553333,-97.90510139
0NA5,"Sorlie",48.00112027,-99.56291139
0NA6,"Ax Ranch Airstrip",46.97389583,-102.29823056
0NA7,"Stevens Strip",47.39777333,-101.07264834
0NA8,"Scheresky Airstrip",47.87472666,-101.14571112
0NA9,"Boyds Turf",46.75001277,-103.80103251
0NC8,"Double Creek Ranch",35.75569527,-80.73534667
0ND0,"Gilbertson Field",47.92917138,-99.40040973
0ND2,"Swenson",47.17219305,-96.84063528
0ND6,"Schumacher Strip",46.05498555,-99.91705834
0ND7,"Saville - Private",46.465265,-100.10455417
0NE0,"Merrihew",41.84873576,-101.95367593
0NE1,"Runner Landing Area",42.4064622075,-101.9420975225
0NE2,"Merry",41.86665027,-101.91712639
0NE5,"Newman",41.021347375,-102.018068105
0NE6,"Frager Fld",40.43297,-98.070732495
0NJ5,"Fla-net",40.88593194,-74.70571806
0NJ6,"Dix Field",39.31678222,-74.63293584
0NK0,"Berdick Field",42.33395138,-78.79086556
0NK1,"Spring Brook",43.36173555,-76.22020556
0NK2,"Westwind Farm",42.98340833,-74.01623778
0NK3,"Seven Gullies",42.69589694,-77.79222223
0NK6,"Lapeer Flyer",42.43840555,-76.08881556
0NK9,"Lakeview",43.01034444,-75.82685584
0NY0,"Bennetts",43.70006472,-73.98291001
0NY1,"Russell Fld",43.13924111,-73.65317278
0NY2,"Flying Acres",43.34173611,-75.35794945
0NY3,"Kermizian",43.3139575,-74.93210112
0NY4,"Alan Dipaolo Field",42.95755888,-78.55141389
0NY7,"Murphys Lndg Strip",43.03757361,-74.18429778
0NY8,"Wenskoski Field",42.99729611,-74.24541001
0O2,"Baker",35.285418,-116.08236
0O4,"Corning Municipal",39.94376805,-122.17137806
0O9,"Ward Field",41.845669,-123.98452
0OH2,"Jenkins Field",39.970615,-83.91159889
0OH4,"Zurik Stol",40.34700583,-82.77767556
0OH5,"Hagemeyer",39.44311638,-84.04298834
0OH6,"Fry Field",39.60061555,-84.01965501
